discipline_root,candidate_approval_number,approval_year,project_type_contexts,discipline_scope_contexts,segment_ids,max_segment_density,priority,context_risk,next_probe_policy,exact_web_query,funding_web_query,crossref_filter,institution_site_query,status,selected_for_first_batch,warning,crossref_strict_http_status,crossref_strict_total_results,crossref_strict_exact_nsfc_work_count,crossref_fallback_http_status,crossref_fallback_total_results,crossref_fallback_exact_award_count,openalex_award_count,openalex_work_count,openalex_award_http_statuses,openalex_work_http_statuses,confirmed_sources,publication_evidence_count,existence_status,evidence_level,project_title_candidate,lead_investigator_candidate,institution_candidate,candidate_identity_source,official_confirmation_status,requires_web_review,next_action,source_errors,retrieved_at,warning,batch_source_directory
B,20106004,2001,youth_c,B08,2001|youth_c|B08|20106|3,0.812500,P3,true,manual_context_review_before_probe,"""20106004""","""20106004"" ""National Natural Science Foundation of China""","award.number:20106004,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20106004""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,3,3,0,0,200,200,,0,award_number_only,D_award_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:58:42+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-005
B,20106009,2001,youth_c,B08,2001|youth_c|B08|20106|3,0.812500,P3,true,manual_context_review_before_probe,"""20106009""","""20106009"" ""National Natural Science Foundation of China""","award.number:20106009,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20106009""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,0,0,0,0,200,200,,0,no_match_all_sources,E_negative_probe_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:58:42+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-005
B,20175013,2001,general,B04,2001|general|B04|20175|3,0.948718,P3,true,manual_context_review_before_probe,"""20175013""","""20175013"" ""National Natural Science Foundation of China""","award.number:20175013,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20175013""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,2,2,0,0,200,200,,0,award_number_only,D_award_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:50:12+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-002
B,20175036,2001,general,B04,2001|general|B04|20175|3,0.948718,P3,true,manual_context_review_before_probe,"""20175036""","""20175036"" ""National Natural Science Foundation of China""","award.number:20175036,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20175036""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,1,1,,0,0,0,0,200,200,crossref,1,confirmed_bibliographic,C_bibliographic,,,,,not_checked,true,official_or_institutional_confirmation,,2026-08-27T07:50:12+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-002
B,20176025,2001,general,B08,2001|general|B08|20176|3,0.954545,P3,true,manual_context_review_before_probe,"""20176025""","""20176025"" ""National Natural Science Foundation of China""","award.number:20176025,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20176025""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,1,1,,0,0,0,0,200,200,crossref,1,confirmed_bibliographic,C_bibliographic,,,,,not_checked,true,official_or_institutional_confirmation,,2026-08-27T07:50:12+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-002
B,20176034,2001,general,B08,2001|general|B08|20176|3,0.954545,P3,true,manual_context_review_before_probe,"""20176034""","""20176034"" ""National Natural Science Foundation of China""","award.number:20176034,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20176034""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,1,1,,0,0,0,0,200,200,crossref,1,confirmed_bibliographic,C_bibliographic,,,,,not_checked,true,official_or_institutional_confirmation,,2026-08-27T07:50:12+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-002
B,20176053,2001,general,B08,2001|general|B08|20176|3,0.954545,P3,true,manual_context_review_before_probe,"""20176053""","""20176053"" ""National Natural Science Foundation of China""","award.number:20176053,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20176053""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,0,0,0,0,200,200,,0,no_match_all_sources,E_negative_probe_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:50:12+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-002
B,20202005,2002,youth_c,B01,2002|youth_c|B01|20202|3,0.846154,P3,true,manual_context_review_before_probe,"""20202005""","""20202005"" ""National Natural Science Foundation of China""","award.number:20202005,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20202005""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,2,3,0,0,200,200,,0,award_number_only,D_award_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:57:16+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-004
B,20202008,2002,youth_c,B01,2002|youth_c|B01|20202|3,0.846154,P3,true,manual_context_review_before_probe,"""20202008""","""20202008"" ""National Natural Science Foundation of China""","award.number:20202008,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20202008""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,2,2,0,0,200,200,,0,award_number_only,D_award_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:57:16+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-004
B,20261006,2002,regional,B01,2002|regional|B01|20261|3,0.833333,P3,true,manual_context_review_before_probe,"""20261006""","""20261006"" ""National Natural Science Foundation of China""","award.number:20261006,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20261006""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,1,1,0,0,200,200,,0,award_number_only,D_award_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:57:16+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-004
