segment_id,run_index,run_start_serial,run_end_serial,run_count,run_start_number,run_end_number
1987|general|B03|28770|3,19,146,146,1,28770146,28770146
1987|general|B03|28770|3,20,150,150,1,28770150,28770150
1987|general|B03|28770|3,21,153,153,1,28770153,28770153
1987|general|B03|28770|3,22,155,156,2,28770155,28770156
1987|general|B03|28770|3,23,158,159,2,28770158,28770159
1987|general|B03|28770|3,24,161,163,3,28770161,28770163
1987|general|B03|28770|3,25,166,166,1,28770166,28770166
1987|general|B03|28770|3,26,168,168,1,28770168,28770168
1987|general|B03|28770|3,27,175,175,1,28770175,28770175
1987|general|B03|28770|3,28,178,178,1,28770178,28770178
1987|general|B03|28770|3,29,181,181,1,28770181,28770181
1987|general|B03|28770|3,30,187,187,1,28770187,28770187
1987|general|B03|28770|3,31,195,196,2,28770195,28770196
1987|general|B03|28770|3,32,198,198,1,28770198,28770198
1987|general|B03|28770|3,33,202,202,1,28770202,28770202
1987|general|B03|28770|3,34,208,210,3,28770208,28770210
1987|general|B03|28770|3,35,212,215,4,28770212,28770215
1987|general|B03|28770|3,36,217,217,1,28770217,28770217
1987|general|B03|28770|3,37,220,222,3,28770220,28770222
1987|general|B03|28770|3,38,224,225,2,28770224,28770225
1987|general|B03|28770|3,39,263,263,1,28770263,28770263
1987|general|B03|28770|3,40,270,270,1,28770270,28770270
1987|general|B03|28770|3,41,273,273,1,28770273,28770273
1987|general|B03|28770|3,42,284,284,1,28770284,28770284
1987|general|B04|28770|3,1,41,41,1,28770041,28770041
1987|general|B04|28770|3,2,44,44,1,28770044,28770044
1987|general|B04|28770|3,3,74,75,2,28770074,28770075
1987|general|B04|28770|3,4,98,98,1,28770098,28770098
1987|general|B04|28770|3,5,117,117,1,28770117,28770117
1987|general|B04|28770|3,6,238,238,1,28770238,28770238
1987|general|B04|28770|3,7,260,260,1,28770260,28770260
1987|general|B04|28770|3,8,262,262,1,28770262,28770262
1987|general|B04|28770|3,9,267,267,1,28770267,28770267
1987|general|B04|28770|3,10,274,274,1,28770274,28770274
1987|general|B04|28770|3,11,276,283,8,28770276,28770283
1987|general|B04|28770|3,12,285,327,43,28770285,28770327
1987|general|B05|28770|3,1,145,145,1,28770145,28770145
1987|general|B05|28770|3,2,148,148,1,28770148,28770148
1987|general|B05|28770|3,3,227,228,2,28770227,28770228
1987|general|B05|28770|3,4,231,231,1,28770231,28770231
1987|general|B05|28770|3,5,233,237,5,28770233,28770237
1987|general|B05|28770|3,6,239,241,3,28770239,28770241
1987|general|B05|28770|3,7,243,243,1,28770243,28770243
1987|general|B05|28770|3,8,245,245,1,28770245,28770245
1987|general|B05|28770|3,9,247,247,1,28770247,28770247
1987|general|B05|28770|3,10,249,255,7,28770249,28770255
1987|general|B05|28770|3,11,257,258,2,28770257,28770258
1987|general|B05|28770|3,12,264,266,3,28770264,28770266
1987|general|B05|28770|3,13,268,268,1,28770268,28770268
1987|general|B05|28770|3,14,271,271,1,28770271,28770271
1987|general|B06|28770|3,1,39,39,1,28770039,28770039
1987|general|B06|28770|3,2,45,45,1,28770045,28770045
1987|general|B06|28770|3,3,49,49,1,28770049,28770049
1987|general|B06|28770|3,4,201,201,1,28770201,28770201
1987|general|B06|28770|3,5,351,351,1,28770351,28770351
1987|general|B07|28770|3,1,11,11,1,28770011,28770011
1987|general|B07|28770|3,2,14,15,2,28770014,28770015
1987|general|B07|28770|3,3,21,22,2,28770021,28770022
1987|general|B07|28770|3,4,24,25,2,28770024,28770025
1987|general|B07|28770|3,5,30,32,3,28770030,28770032
1987|general|B07|28770|3,6,50,50,1,28770050,28770050
1987|general|B07|28770|3,7,53,53,1,28770053,28770053
1987|general|B07|28770|3,8,61,62,2,28770061,28770062
1987|general|B07|28770|3,9,64,64,1,28770064,28770064
1987|general|B07|28770|3,10,68,68,1,28770068,28770068
1987|general|B07|28770|3,11,70,72,3,28770070,28770072
1987|general|B07|28770|3,12,76,76,1,28770076,28770076
1987|general|B07|28770|3,13,83,83,1,28770083,28770083
1987|general|B07|28770|3,14,85,86,2,28770085,28770086
1987|general|B07|28770|3,15,88,89,2,28770088,28770089
1987|general|B07|28770|3,16,91,91,1,28770091,28770091
1987|general|B07|28770|3,17,97,97,1,28770097,28770097
1987|general|B07|28770|3,18,102,104,3,28770102,28770104
1987|general|B07|28770|3,19,106,106,1,28770106,28770106
1987|general|B07|28770|3,20,108,108,1,28770108,28770108
1987|general|B07|28770|3,21,111,111,1,28770111,28770111
1987|general|B07|28770|3,22,116,116,1,28770116,28770116
1987|general|B07|28770|3,23,119,120,2,28770119,28770120
1987|general|B07|28770|3,24,211,211,1,28770211,28770211
1987|general|B08|28770|3,1,55,55,1,28770055,28770055
1987|general|B08|28770|3,2,328,350,23,28770328,28770350
1987|general|B08|28770|3,3,352,367,16,28770352,28770367
1987|special|B01|28780|3,1,5,5,1,28780005,28780005
1987|special|B01|28780|3,2,8,9,2,28780008,28780009
1987|special|B01|28780|3,3,16,16,1,28780016,28780016
1987|special|B01|38780|3,1,20,20,1,38780020,38780020
1987|special|B03|28780|3,1,1,1,1,28780001,28780001
1987|special|B03|28780|3,2,4,4,1,28780004,28780004
1987|special|B04|28780|3,1,3,3,1,28780003,28780003
1987|special|B04|28780|3,2,14,14,1,28780014,28780014
1987|special|B05|18780|3,1,705,705,1,18780705,18780705
1987|special|B05|28780|3,1,2,2,1,28780002,28780002
1987|special|B05|28780|3,2,10,13,4,28780010,28780013
1987|special|B08|28780|3,1,6,7,2,28780006,28780007
1987|special|B08|28780|3,2,15,15,1,28780015,28780015
1987|youth_c|B01|28700|3,1,1,1,1,28700001,28700001
1987|youth_c|B01|28700|3,2,9,9,1,28700009,28700009
1987|youth_c|B02|28700|3,1,5,6,2,28700005,28700006
1987|youth_c|B03|28700|3,1,4,4,1,28700004,28700004
1987|youth_c|B04|28700|3,1,2,3,2,28700002,28700003
1987|youth_c|B05|28700|3,1,8,8,1,28700008,28700008
1987|youth_c|B07|28700|3,1,7,7,1,28700007,28700007
1987|youth_c|B08|28700|3,1,10,10,1,28700010,28700010
1988|general|B01|28870|3,1,1,1,1,28870001,28870001
1988|general|B01|28870|3,2,3,5,3,28870003,28870005
1988|general|B01|28870|3,3,8,11,4,28870008,28870011
1988|general|B01|28870|3,4,13,14,2,28870013,28870014
1988|general|B01|28870|3,5,16,19,4,28870016,28870019
1988|general|B01|28870|3,6,22,23,2,28870022,28870023
1988|general|B01|28870|3,7,25,25,1,28870025,28870025
1988|general|B01|28870|3,8,33,33,1,28870033,28870033
1988|general|B01|28870|3,9,39,40,2,28870039,28870040
1988|general|B01|28870|3,10,42,43,2,28870042,28870043
1988|general|B01|28870|3,11,46,46,1,28870046,28870046
1988|general|B01|28870|3,12,48,49,2,28870048,28870049
1988|general|B01|28870|3,13,51,52,2,28870051,28870052
1988|general|B01|28870|3,14,55,56,2,28870055,28870056
1988|general|B01|28870|3,15,58,60,3,28870058,28870060
1988|general|B01|28870|3,16,62,63,2,28870062,28870063
1988|general|B01|28870|3,17,65,65,1,28870065,28870065
1988|general|B01|28870|3,18,67,70,4,28870067,28870070
1988|general|B01|28870|3,19,72,81,10,28870072,28870081
1988|general|B01|28870|3,20,83,87,5,28870083,28870087
1988|general|B01|28870|3,21,89,90,2,28870089,28870090
1988|general|B01|28870|3,22,92,92,1,28870092,28870092
1988|general|B01|28870|3,23,97,98,2,28870097,28870098
1988|general|B01|28870|3,24,101,103,3,28870101,28870103
1988|general|B01|28870|3,25,107,107,1,28870107,28870107
1988|general|B01|28870|3,26,112,112,1,28870112,28870112
1988|general|B01|28870|3,27,114,114,1,28870114,28870114
1988|general|B01|28870|3,28,180,180,1,28870180,28870180
1988|general|B01|28870|3,29,188,188,1,28870188,28870188
1988|general|B01|28870|3,30,201,201,1,28870201,28870201
1988|general|B02|28870|3,1,20,20,1,28870020,28870020
1988|general|B02|28870|3,2,118,118,1,28870118,28870118
1988|general|B02|28870|3,3,121,122,2,28870121,28870122
1988|general|B02|28870|3,4,124,126,3,28870124,28870126
1988|general|B02|28870|3,5,128,129,2,28870128,28870129
1988|general|B02|28870|3,6,131,131,1,28870131,28870131
1988|general|B02|28870|3,7,135,136,2,28870135,28870136
1988|general|B02|28870|3,8,138,138,1,28870138,28870138
1988|general|B02|28870|3,9,140,140,1,28870140,28870140
1988|general|B02|28870|3,10,143,143,1,28870143,28870143
1988|general|B02|28870|3,11,146,148,3,28870146,28870148
1988|general|B02|28870|3,12,151,157,7,28870151,28870157
1988|general|B02|28870|3,13,161,162,2,28870161,28870162
1988|general|B02|28870|3,14,165,165,1,28870165,28870165
1988|general|B02|28870|3,15,171,172,2,28870171,28870172
1988|general|B02|28870|3,16,174,174,1,28870174,28870174
1988|general|B02|28870|3,17,177,178,2,28870177,28870178
1988|general|B03|28870|3,1,12,12,1,28870012,28870012
1988|general|B03|28870|3,2,15,15,1,28870015,28870015
1988|general|B03|28870|3,3,26,26,1,28870026,28870026
1988|general|B03|28870|3,4,31,32,2,28870031,28870032
1988|general|B03|28870|3,5,34,34,1,28870034,28870034
1988|general|B03|28870|3,6,53,53,1,28870053,28870053
1988|general|B03|28870|3,7,57,57,1,28870057,28870057
1988|general|B03|28870|3,8,66,66,1,28870066,28870066
1988|general|B03|28870|3,9,91,91,1,28870091,28870091
1988|general|B03|28870|3,10,93,93,1,28870093,28870093
1988|general|B03|28870|3,11,95,95,1,28870095,28870095
1988|general|B03|28870|3,12,113,113,1,28870113,28870113
1988|general|B03|28870|3,13,115,117,3,28870115,28870117
1988|general|B03|28870|3,14,119,120,2,28870119,28870120
1988|general|B03|28870|3,15,123,123,1,28870123,28870123
1988|general|B03|28870|3,16,127,127,1,28870127,28870127
1988|general|B03|28870|3,17,130,130,1,28870130,28870130
1988|general|B03|28870|3,18,132,134,3,28870132,28870134
1988|general|B03|28870|3,19,137,137,1,28870137,28870137
1988|general|B03|28870|3,20,139,139,1,28870139,28870139
1988|general|B03|28870|3,21,142,142,1,28870142,28870142
1988|general|B03|28870|3,22,144,145,2,28870144,28870145
1988|general|B03|28870|3,23,149,150,2,28870149,28870150
1988|general|B03|28870|3,24,158,160,3,28870158,28870160
1988|general|B03|28870|3,25,163,164,2,28870163,28870164
1988|general|B03|28870|3,26,166,170,5,28870166,28870170
1988|general|B03|28870|3,27,173,173,1,28870173,28870173
1988|general|B03|28870|3,28,175,176,2,28870175,28870176
1988|general|B03|28870|3,29,181,181,1,28870181,28870181
1988|general|B03|28870|3,30,189,189,1,28870189,28870189
1988|general|B03|28870|3,31,198,199,2,28870198,28870199
1988|general|B03|28870|3,32,204,204,1,28870204,28870204
1988|general|B03|28870|3,33,220,220,1,28870220,28870220
1988|general|B04|28870|3,1,50,50,1,28870050,28870050
1988|general|B04|28870|3,2,54,54,1,28870054,28870054
1988|general|B04|28870|3,3,94,94,1,28870094,28870094
