candidate_approval_number,discipline_root,approval_year,project_type_contexts,discipline_scope_contexts,original_priority,followup_priority,existence_status,confirmed_sources,project_title_candidate,lead_investigator_candidate,institution_candidate,exact_web_query,funding_web_query,institution_site_query,next_action,official_confirmation_status,warning
21901112,B,2019,youth_c,B01,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""21901112""","""21901112"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21901112""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
21901126,B,2019,youth_c,B01,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""21901126""","""21901126"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21901126""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
21901129,B,2019,youth_c,B01,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""21901129""","""21901129"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21901129""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
21901231,B,2019,youth_c,B01,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""21901231""","""21901231"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21901231""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
52065039,E,2020,regional,E05,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""52065039""","""52065039"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""52065039""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
51006019,E,2010,youth_c,E06,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""51006019""","""51006019"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51006019""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51006124,E,2010,youth_c,E06,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""51006124""","""51006124"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51006124""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50706037,E,2007,youth_c,E06,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""50706037""","""50706037"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50706037""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51965048,E,2019,regional,E05,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""51965048""","""51965048"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51965048""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
50807010,E,2008,youth_c,E07,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""50807010""","""50807010"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50807010""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50175010,E,2001,general,E05,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""50175010""","""50175010"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50175010""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50175104,E,2001,general,E05,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""50175104""","""50175104"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50175104""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51365030,E,2013,regional,E05,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""51365030""","""51365030"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51365030""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
50906090,E,2009,youth_c,E06,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""50906090""","""50906090"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50906090""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50906101,E,2009,youth_c,E06,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""50906101""","""50906101"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50906101""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51764014,E,2017,regional,E04,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""51764014""","""51764014"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51764014""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
51902002,E,2019,youth_c,E02,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""51902002""","""51902002"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51902002""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51902186,E,2019,youth_c,E02,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""51902186""","""51902186"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51902186""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51902206,E,2019,youth_c,E02,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""51902206""","""51902206"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51902206""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51902214,E,2019,youth_c,E02,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""51902214""","""51902214"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51902214""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51902225,E,2019,youth_c,E02,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""51902225""","""51902225"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51902225""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51902302,E,2019,youth_c,E02,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""51902302""","""51902302"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51902302""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51902352,E,2019,youth_c,E02,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""51902352""","""51902352"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51902352""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
50602015,E,2006,youth_c,E02,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""50602015""","""50602015"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50602015""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
22061042,B,2020,regional,B01,P2,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""22061042""","""22061042"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""22061042""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
59876042,E,1998,general,E06,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""59876042""","""59876042"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""59876042""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50901004,E,2009,youth_c,E01,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""50901004""","""50901004"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50901004""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50901085,E,2009,youth_c,E01,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""50901085""","""50901085"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50901085""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51864002,E,2018,regional,E04,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""51864002""","""51864002"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51864002""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50806054,E,2008,youth_c,E06,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""50806054""","""50806054"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50806054""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50806074,E,2008,youth_c,E06,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""50806074""","""50806074"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50806074""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50272013,E,2002,general,E02,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""50272013""","""50272013"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50272013""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50272073,E,2002,general,E02,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""50272073""","""50272073"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50272073""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
59272076,E,1992,general,E02,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""59272076""","""59272076"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""59272076""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50671062,E,2006,general,E01,P2,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""50671062""","""50671062"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50671062""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
50671089,E,2006,general,E01,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""50671089""","""50671089"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50671089""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50671101,E,2006,general,E01,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""50671101""","""50671101"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50671101""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
21766012,B,2017,regional,B08,P2,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""21766012""","""21766012"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21766012""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
50376032,E,2003,general,E06,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""50376032""","""50376032"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50376032""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50376064,E,2003,general,E06,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""50376064""","""50376064"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50376064""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51662003,E,2016,regional,E02,P2,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""51662003""","""51662003"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51662003""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
51562017,E,2015,regional,E02,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""51562017""","""51562017"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51562017""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51862030,E,2018,regional,E02,P2,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""51862030""","""51862030"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51862030""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
50173004,E,2001,general,E03,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""50173004""","""50173004"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50173004""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
59373132,E,1993,general,E03,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""59373132""","""59373132"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""59373132""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50403006,E,2004,youth_c,E03,P2,P2_award_only,award_number_only,,,,,"""50403006""","""50403006"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50403006""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50177020,E,2001,general,E07,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""50177020""","""50177020"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50177020""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50571022,E,2005,general,E01,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""50571022""","""50571022"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50571022""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50571058,E,2005,general,E01,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""50571058""","""50571058"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50571058""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50571060,E,2005,general,E01,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""50571060""","""50571060"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50571060""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50571061,E,2005,general,E01,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""50571061""","""50571061"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50571061""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50205026,E,2002,youth_c,E05,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""50205026""","""50205026"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50205026""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50306009,E,2003,youth_c,E06,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""50306009""","""50306009"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50306009""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50505002,E,2005,youth_c,E05,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""50505002""","""50505002"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50505002""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
50505050,E,2005,youth_c,E05,P2,P2_no_bibliographic_match,no_match_all_sources,,,,,"""50505050""","""50505050"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50505050""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
