segment_id,run_index,run_start_serial,run_end_serial,run_count,run_start_number,run_end_number
1988|general|E10|58870|3,2,317,319,3,58870317,58870319
1988|general|E10|58870|3,3,331,331,1,58870331,58870331
1988|general|E10|58870|3,4,338,339,2,58870338,58870339
1988|general|E10|58870|3,5,345,345,1,58870345,58870345
1988|general|E10|58870|3,6,347,351,5,58870347,58870351
1988|general|E10|58870|3,7,357,358,2,58870357,58870358
1988|general|E10|58870|3,8,374,374,1,58870374,58870374
1988|general|E11|58870|3,1,372,372,1,58870372,58870372
1988|special|E01|58880|3,1,1,10,10,58880001,58880010
1988|special|E02|58880|3,1,11,14,4,58880011,58880014
1988|special|E03|58880|3,1,15,23,9,58880015,58880023
1988|special|E05|58880|3,1,24,29,6,58880024,58880029
1988|special|E06|58880|3,1,30,33,4,58880030,58880033
1988|youth_c|E01|58800|3,1,1,4,4,58800001,58800004
1988|youth_c|E03|58800|3,1,5,5,1,58800005,58800005
1988|youth_c|E03|58800|3,2,25,25,1,58800025,58800025
1988|youth_c|E05|58800|3,1,6,10,5,58800006,58800010
1988|youth_c|E06|58800|3,1,11,15,5,58800011,58800015
1988|youth_c|E07|58800|3,1,16,18,3,58800016,58800018
1988|youth_c|E08|58800|3,1,20,20,1,58800020,58800020
1988|youth_c|E09|58800|3,1,21,24,4,58800021,58800024
1988|youth_c|E10|58800|3,1,19,19,1,58800019,58800019
1989|general|E01|58971|3,1,9,77,69,58971009,58971077
1989|general|E02|58972|3,1,78,118,41,58972078,58972118
1989|general|E03|58973|3,1,119,145,27,58973119,58973145
1989|general|E04|58974|3,1,146,170,25,58974146,58974170
1989|general|E05|58975|3,1,171,238,68,58975171,58975238
1989|general|E06|58976|3,1,239,287,49,58976239,58976287
1989|general|E07|58977|3,1,288,314,27,58977288,58977314
1989|general|E08|58978|3,1,315,316,2,58978315,58978316
1989|general|E08|58978|3,2,318,331,14,58978318,58978331
1989|general|E08|58978|3,3,333,333,1,58978333,58978333
1989|general|E08|58978|3,4,336,338,3,58978336,58978338
1989|general|E08|58978|3,5,340,358,19,58978340,58978358
