project_type_raw,project_type,count
专项基金项目,special,1564
地区科学基金项目,regional,3967
联合基金项目,joint_fund,1572
重大研究计划,major_research_plan,980
重点项目,key,1564
青年科学基金项目（C类）,youth_c,39029
面上项目,general,46085
